Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	AlphaFoldDB	PDB	Taxonomic lineage	Taxonomic lineage (Ids)	Organism (ID)
A0A081EXX7	unreviewed	A0A081EXX7_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk FK85_16425	Halorubrum saccharovorum	798	A0A081EXX7;		Halorubrum (genus), Halorubraceae (family), Haloferacales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	56688 (genus), 1963271 (family), 1644055 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	2248
A0A0A7LAG4	unreviewed	A0A0A7LAG4_9ARCH	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk Mpt1_c02100	Candidatus Methanoplasma termitum	687	A0A0A7LAG4;		Candidatus Methanoplasma (genus), Methanomassiliicoccaceae (family), Methanomassiliicoccales (order), Thermoplasmata (class), Candidatus Thermoplasmatota (phylum), Archaea (superkingdom), cellular organisms (no rank)	1607807 (genus), 1577788 (family), 1235850 (order), 183967 (class), 2283796 (phylum), 2157 (superkingdom), 131567 (no rank)	1577791
A0A0B5H4R0	unreviewed	A0A0B5H4R0_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk SG26_18580	Haloarcula sp. CBA1115	837	A0A0B5H4R0;		unclassified Haloarcula (no rank), Haloarcula (genus), Haloarculaceae (family), Halobacteriales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2624677 (no rank), 2237 (genus), 1963268 (family), 2235 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1592728
A0A0D6JNC5	unreviewed	A0A0D6JNC5_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk_1 ppk BN996_00857	Haloferax massiliensis	741	A0A0D6JNC5;		Haloferax (genus), Haloferacaceae (family), Haloferacales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2251 (genus), 1644056 (family), 1644055 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1476858
A0A0D6JQG5	unreviewed	A0A0D6JQG5_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk_2 ppk BN996_01324	Haloferax massiliensis	822	A0A0D6JQG5;		Haloferax (genus), Haloferacaceae (family), Haloferacales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2251 (genus), 1644056 (family), 1644055 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1476858
A0A0E3H979	unreviewed	A0A0E3H979_METTT	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk MSTHT_1876	Methanosarcina thermophila (strain ATCC 43570 / DSM 1825 / OCM 12 / VKM B-1830 / TM-1)	728	A0A0E3H979;		Methanosarcina thermophila (species), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2210 (species), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	523844
A0A0E3KZY9	unreviewed	A0A0E3KZY9_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk MSWH1_3137	Methanosarcina sp. WH1	714	A0A0E3KZY9;		unclassified Methanosarcina (no rank), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2644672 (no rank), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1434102
A0A0E3L7E9	unreviewed	A0A0E3L7E9_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk MSMTP_3182	Methanosarcina sp. MTP4	700	A0A0E3L7E9;		unclassified Methanosarcina (no rank), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2644672 (no rank), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1434100
A0A0E3LIB8	unreviewed	A0A0E3LIB8_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk MSVAZ_3477	Methanosarcina vacuolata Z-761	713	A0A0E3LIB8;		Methanosarcina vacuolata (species), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2215 (species), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1434123
A0A0E3LRF4	unreviewed	A0A0E3LRF4_METBA	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk MSBR2_3410	Methanosarcina barkeri 227	713	A0A0E3LRF4;		Methanosarcina barkeri (species), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2208 (species), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1434106
