accession	seqid	alntmscore	Taxonomic.lineage	Organism	Phylum	LeidenCluster	tSNE1	tSNE2	info
A0A369XMZ4	1	1	Candidatus Accumulibacter (genus), Betaproteobacteria incertae sedis (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Candidatus Accumulibacter phosphatis	Pseudomonadota	LC32	93.18268	-16.136166	LC32_cluster
A0A011PU89	0.951	0.9956	Candidatus Accumulibacter (genus), Betaproteobacteria incertae sedis (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Candidatus Accumulibacter appositus	Pseudomonadota	LC32	93.13563	-16.34142	LC32_cluster
A0A011PU73	0.937	0.9972	Candidatus Accumulibacter (genus), Betaproteobacteria incertae sedis (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Accumulibacter regalis	Pseudomonadota	LC32	92.44176	-15.961943	LC32_cluster
A0A3D6DVI9	0.899	0.9932	unclassified Candidatus Accumulibacter (no rank), Candidatus Accumulibacter (genus), Betaproteobacteria incertae sedis (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Candidatus Accumulibacter sp	Pseudomonadota	NA	NA	NA	NA
A0A084Y6C5	0.894	0.9967	Candidatus Accumulibacter (genus), Betaproteobacteria incertae sedis (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Candidatus Accumulibacter phosphatis	Pseudomonadota	LC32	92.74571	-16.235718	LC32_cluster
A0A080MDA4	0.894	0.9808	Candidatus Accumulibacter (genus), Betaproteobacteria incertae sedis (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Candidatus Accumulibacter cognatus	Pseudomonadota	LC32	92.39326	-15.946894	LC32_cluster
A0A7D5S7F9	0.894	0.9804	unclassified Candidatus Accumulibacter (no rank), Candidatus Accumulibacter (genus), Betaproteobacteria incertae sedis (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Candidatus Accumulibacter sp	Pseudomonadota	LC32	92.08315	-15.82535	LC32_cluster
A0A5S4FC80	0.889	0.9791	Candidatus Accumulibacter (genus), Betaproteobacteria incertae sedis (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Candidatus Accumulibacter phosphatis	Pseudomonadota	LC32	92.31426	-15.907023	LC32_cluster
A0A533QMC6	0.879	0.9897	unclassified Candidatus Accumulibacter (no rank), Candidatus Accumulibacter (genus), Betaproteobacteria incertae sedis (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Candidatus Accumulibacter sp	Pseudomonadota	LC32	93.271034	-16.054531	LC32_cluster
A0A3D5EXG2	0.878	0.9955	unclassified Candidatus Accumulibacter (no rank), Candidatus Accumulibacter (genus), Betaproteobacteria incertae sedis (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Candidatus Accumulibacter sp	Pseudomonadota	LC32	96.52442	-16.503052	LC32_cluster
A0A351BGQ6	0.876	0.9942	unclassified Candidatus Accumulibacter (no rank), Candidatus Accumulibacter (genus), Betaproteobacteria incertae sedis (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Candidatus Accumulibacter sp	Pseudomonadota	LC32	93.051315	-16.332478	LC32_cluster
A0A011N461	0.875	0.9945	Candidatus Accumulibacter (genus), Betaproteobacteria incertae sedis (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Candidatus Accumulibacter adjunctus	Pseudomonadota	LC32	96.306564	-16.472042	LC32_cluster
