protid	LeidenCluster
A0A009G216	LC23
A0A009GDQ6	LC23
A0A009HJR7	LC23
A0A009HL91	LC23
A0A009HRB2	LC23
A0A009NCA9	LC23
A0A009QDD5	LC23
A0A009QHE6	LC23
A0A009RMH2	LC23
A0A009SCX3	LC23
A0A009SEQ8	LC23
A0A009YG56	LC23
A0A009YT68	LC23
A0A010IZF3	LC23
A0A010PTD8	LC26
A0A010RSH5	LC12
A0A010ZGU5	LC00
A0A011N461	LC32
A0A011PU73	LC32
A0A011PU89	LC32
A0A011QT80	LC32
A0A011RMD5	LC02
A0A011SMB3	LC24
A0A011UA30	LC06
A0A011V4G0	LC34
A0A013RZ16	LC23
A0A013TPT6	LC23
A0A014B4I0	LC23
A0A014B889	LC23
A0A014BJU6	LC23
A0A014BMK3	LC23
A0A014BVI8	LC23
A0A014CG45	LC23
A0A014CMB8	LC23
A0A014CYJ3	LC23
A0A014D1V1	LC23
A0A014DCG6	LC23
A0A014DE40	LC23
A0A014DNG7	LC23
A0A014DWY7	LC23
A0A014EVJ3	LC23
A0A014F481	LC23
A0A014FN61	LC23
A0A014L3K4	LC01
A0A014M9S8	LC09
A0A014P0A0	LC20
A0A015MQ07	LC03
A0A015RZ73	LC14
A0A015S4N4	LC04
A0A015SNZ7	LC04
A0A015U0F5	LC04
A0A015UGK8	LC14
A0A015V1J5	LC14
A0A015W7S2	LC14
A0A015WH57	LC04
A0A015WZ99	LC14
A0A015YHS4	LC14
A0A015YK67	LC04
A0A015YZU4	LC04
A0A015ZF59	LC14
A0A015ZII5	LC04
A0A016BSU5	LC14
A0A016E6Y7	LC04
A0A016EHQ9	LC14
A0A016FKJ1	LC04
A0A016QPG9	LC00
A0A016XKU8	LC27
A0A017H9N9	LC33
A0A017N2L2	LC14
A0A017N8B3	LC04
A0A021VT93	LC00
A0A021X6H1	LC15
A0A022FPN2	LC20
A0A022GG14	LC32
A0A022J810	LC23
A0A022LFR7	LC24
A0A022LI74	LC03
A0A022LWD8	LC22
A0A022MAS1	LC01
A0A023C0U1	LC27
A0A023CVZ4	LC25
A0A023D4P5	LC04
A0A023PA34	LC17
A0A023PGY8	LC19
A0A023WW27	LC12
A0A023X0M5	LC05
A0A023XGB1	LC42
A0A023Y6P4	LC06
A0A024BUQ1	LC16
A0A024C7G1	LC16
A0A024EDW5	LC12
A0A024FKZ5	LC07
A0A024H059	LC13
A0A024HB21	LC12
A0A024JVE6	LC24
A0A024LS34	LC42
A0A024YL64	LC01
A0A031FNR3	LC24
A0A031GCK5	LC12
A0A031GMB8	LC07
A0A031HJ46	LC10
A0A031ILL9	LC03
A0A031IQU7	LC32
A0A031J9G7	LC12
A0A031JWV7	LC33
A0A031LTD4	LC23
A0A031LTG5	LC23
A0A034SZU1	LC04
A0A037ZJA8	LC11
A0A049DL26	LC13
A0A051U6H0	LC39
A0A058ZLG9	LC11
A0A059DNI0	LC06
A0A059E0E9	LC06
