protid	tSNE1	tSNE2
A0A009G216	-86.564415	-73.589386
A0A009GDQ6	-86.82756	-60.791
A0A009HJR7	-89.50631	-74.00769
A0A009HL91	-89.09933	-59.04445
A0A009HRB2	-91.1008	-57.45187
A0A009NCA9	-88.82994	-58.264923
A0A009QDD5	-87.00662	-74.23977
A0A009QHE6	-85.87415	-64.838295
A0A009RMH2	-86.38086	-64.60223
A0A009SCX3	-78.180855	-82.24222
A0A009SEQ8	-85.03671	-63.080467
A0A009YG56	-94.036026	-63.380436
A0A009YT68	-88.72323	-74.75559
A0A010IZF3	-86.36349	-63.754917
A0A010PTD8	100.90715	-72.620346
A0A010RSH5	119.49561	40.401432
A0A010ZGU5	71.73472	-61.827057
A0A011N461	96.306564	-16.472042
A0A011PU73	92.44176	-15.961943
A0A011PU89	93.13563	-16.34142
A0A011QT80	92.20779	-15.903158
A0A011RMD5	-71.955055	96.18944
A0A011SMB3	-129.20628	21.220158
A0A011UA30	-59.32126	-21.361992
A0A011V4G0	-57.25627	-65.51815
A0A013RZ16	-88.44985	-59.19036
A0A013TPT6	-91.68607	-54.949615
A0A014B4I0	-87.18511	-63.509605
A0A014B889	-85.9739	-74.38617
A0A014BJU6	-86.55677	-74.01965
A0A014BMK3	-88.48129	-74.60679
A0A014BVI8	-91.10313	-55.4126
A0A014CG45	-85.34067	-64.0348
A0A014CMB8	-86.79508	-74.43877
A0A014CYJ3	-85.71985	-63.40355
A0A014D1V1	-93.25287	-53.766277
A0A014DCG6	-92.4653	-54.37204
A0A014DE40	-87.6351	-74.35034
A0A014DNG7	-88.787544	-58.33964
A0A014DWY7	-89.035416	-73.9933
A0A014EVJ3	-86.15244	-75.3541
A0A014F481	-88.96559	-59.68513
A0A014FN61	-89.61656	-73.755974
A0A014L3K4	-36.118557	-105.2075
A0A014M9S8	-28.214975	142.48045
A0A014P0A0	89.23715	18.75856
A0A015MQ07	75.301346	40.96492
A0A015RZ73	-65.886246	14.321357
A0A015S4N4	83.36999	-35.62139
A0A015SNZ7	83.60661	-35.86516
A0A015U0F5	83.38049	-35.582993
A0A015UGK8	-58.154957	14.164259
A0A015V1J5	-58.10889	14.171586
A0A015W7S2	-58.117535	14.169198
A0A015WH57	83.42563	-35.627842
A0A015WZ99	-58.129868	14.164858
A0A015YHS4	-58.11738	14.169139
A0A015YK67	83.40067	-35.52513
A0A015YZU4	83.467064	-35.749382
A0A015ZF59	-58.101986	14.175121
A0A015ZII5	83.34516	-35.578243
A0A016BSU5	-65.960846	14.223387
A0A016E6Y7	83.27614	-35.57119
A0A016EHQ9	-58.109722	14.173711
A0A016FKJ1	83.33627	-35.596226
A0A016QPG9	-1.7007896	28.362207
A0A016XKU8	-10.768427	49.032963
A0A017H9N9	-41.289043	25.998587
A0A017N2L2	-65.98594	14.338205
A0A017N8B3	83.384315	-35.62208
A0A021VT93	9.320953	-0.8954624
A0A021X6H1	-11.560095	-128.24368
A0A022FPN2	91.99837	20.75476
A0A022GG14	100.35594	-17.256231
A0A022J810	-87.285095	-63.081036
A0A022LFR7	-132.54202	20.674387
A0A022LI74	52.437553	39.6398
A0A022LWD8	-114.053856	-1.054794
A0A022MAS1	-37.665455	-89.3691
A0A023C0U1	-12.728563	42.252865
A0A023CVZ4	13.121351	-34.796326
A0A023D4P5	69.034485	-45.953476
A0A023PA34	37.558308	127.710724
A0A023PGY8	55.547924	80.544014
A0A023WW27	139.1924	25.115044
A0A023X0M5	-48.668343	52.100353
A0A023XGB1	-5.193753	-119.767105
A0A023Y6P4	-102.75294	-32.16967
A0A024BUQ1	25.846529	-88.00719
A0A024C7G1	26.192059	-104.15797
A0A024EDW5	123.22092	33.918934
A0A024FKZ5	-56.279507	-44.15209
A0A024H059	46.01112	-18.990555
A0A024HB21	130.29623	27.524708
A0A024JVE6	-112.0003	38.873764
A0A024LS34	-5.0547466	-119.69495
A0A024YL64	-48.898663	-112.03084
A0A031FNR3	-131.87228	22.71474
A0A031GCK5	129.60968	26.980152
A0A031GMB8	-27.278242	-40.778137
A0A031HJ46	-37.390965	-11.228615
A0A031ILL9	69.706276	43.33359
A0A031IQU7	45.155125	4.3689957
A0A031J9G7	133.2543	35.492214
A0A031JWV7	-30.11728	37.5028
A0A031LTD4	-89.487526	-60.022175
A0A031LTG5	-82.12592	-82.194626
A0A034SZU1	69.07142	-19.452805
A0A037ZJA8	16.046494	-120.923256
A0A049DL26	36.721306	-5.597814
A0A051U6H0	-1.3340516	-23.794607
A0A058ZLG9	16.517048	-128.0928
A0A059DNI0	-64.20638	-19.803818
A0A059E0E9	-64.1086	-19.897638
A0A059E886	-65.04622	-18.935856
A0A059FAS2	-64.17494	-19.844982
A0A059FB52	-64.56568	-19.40989
A0A059FUF6	-64.14395	-19.861452
A0A059G7W6	-64.13343	-19.874056
A0A059KS02	-41.901844	53.62185
A0A059KWY0	119.175156	39.04824
A0A059V3K9	107.47749	47.667194
A0A059W5Y6	-46.194645	-109.35446
A0A059ZW80	52.361347	-117.533676
A0A060B9Q6	72.51253	50.469425
A0A060H0R4	-0.6453355	-47.842667
A0A060HDT2	-0.6568694	-47.743626
A0A060HUT5	-8.441779	-141.44647
A0A060JEL5	-112.197876	8.080417
A0A060NNP6	75.02907	-4.351535
A0A060NXF2	78.594444	-7.9158263
A0A060PUX4	22.156998	-101.6998
A0A060QAU9	-86.8669	12.820719
A0A060RBM0	91.651924	-43.303192
A0A060UPC6	52.39949	-117.488914
A0A060ZRK9	-57.730568	-111.19015
A0A061JTR1	129.00551	37.23148
A0A061M0A4	-5.2383904	87.34115
A0A061N500	34.67906	23.194008
A0A061NZW2	-51.690628	-69.25699
A0A061Q3A7	0.18562958	150.70592
A0A061QEX7	-34.316532	1.8788425
A0A061SST7	19.525673	-130.918
A0A062BUZ9	-95.22471	-51.456276
A0A062GRU3	-91.81697	-54.452694
A0A062IBL8	-85.01501	-75.22061
A0A062IR55	-87.31326	-61.618725
A0A062N107	-84.86615	-63.166203
A0A062NCD9	-85.19953	-75.82033
A0A062UHM5	-64.06664	-19.924145
A0A062UHQ4	-64.20044	-19.81448
A0A062VNX9	-64.15563	-19.855835
A0A062VQY9	-128.20923	24.87053
A0A062WZ20	15.442921	-1.7205242
A0A062XCY4	4.9824767	50.876747
A0A063BC52	131.33517	-34.050144
A0A063Y2Y2	88.67321	43.05022
A0A064CCK9	-125.631615	-9.9538
A0A066PW50	-52.783035	-26.3323
A0A066RW25	-5.6588364	142.53662
A0A066TCZ8	-38.629417	-43.443134
A0A066TI79	101.566635	4.0720673
A0A066U670	-115.06403	33.102848
A0A066UKQ8	30.900894	50.011326
A0A066ULL6	1.7969464	149.6312
A0A066X093	-44.791443	103.58583
A0A066Z0E5	-34.18822	-96.221245
A0A066ZVT0	92.93699	-11.6901045
A0A067LVG6	120.40055	-10.072216
A0A067W6P1	-7.8116913	-122.1491
A0A067WLD7	-9.33389	-124.40591
A0A067Z632	-86.35792	15.137933
A0A068D401	-5.855102	-134.897
A0A068FWW1	-18.489836	-13.079814
A0A068N0C7	-21.384735	-22.779963
A0A068NH06	37.098	96.53308
A0A068NMS7	6.8412547	-13.2682085
A0A068NW01	-27.400564	-1.5809761
A0A068QW72	-12.622471	142.83766
A0A068R4Q5	-9.72962	142.14128
A0A068RA06	-25.774849	138.25441
A0A068SND7	-12.4674835	-142.96674
A0A068T5S9	-16.863335	-134.12587
A0A068YQL0	-37.797966	56.14357
A0A068Z4G9	-23.29984	134.10034
A0A069CRL8	-2.1855922	27.917927
A0A069D3V9	-40.85072	63.709354
A0A069DJM6	-51.256454	50.793877
A0A069E231	-64.16191	-19.851385
A0A069EUC2	-110.49913	33.364746
A0A069IGX1	100.30592	-17.11673
A0A069IS22	-100.98759	55.698784
A0A069JV81	-29.994255	-102.117165
A0A069P9S5	121.30686	-29.022146
A0A069PRF1	124.86095	-27.932095
A0A069RLP7	4.2369723	-71.08111
A0A069RYT0	19.726305	35.12297
A0A069SLI8	-39.122868	-40.74657
A0A069ZL68	-113.17419	73.33396
A0A070A1V2	-95.323944	58.96269
A0A071LNX0	-27.645067	141.70998
A0A071MIV5	129.44604	-35.573406
A0A072D0X2	-90.263176	-59.372997
A0A072DDW4	-81.416916	-81.99017
A0A072MV38	39.373146	-36.484184
A0A072N0S6	51.212627	-113.11717
A0A072NJS8	11.665734	31.640888
A0A072NTJ9	40.659782	110.762985
A0A073AUK2	86.36161	-77.027725
A0A073CJ14	-13.8733015	-18.027777
A0A073IHW0	19.35133	-133.61516
A0A073J8D3	-46.327847	3.406714
A0A073JNK4	19.28085	54.118332
A0A073K3G5	35.735687	134.44125
A0A073KHQ2	28.343306	127.90617
A0A074J794	-15.109524	26.29967
A0A074JWZ2	-15.215283	26.669504
A0A074K8Q5	-42.12513	36.73035
A0A074KV19	17.810558	103.71991
A0A074LJR1	22.553257	60.421364
A0A074MDB2	-49.427723	51.94364
A0A074MX74	-17.002893	-42.47788
A0A074TPD3	-14.146758	24.219797
A0A074TSX4	-131.79675	25.48614
A0A075JI52	-4.4286275	7.2529473
A0A075K1Q8	99.51938	50.282585
A0A075K5I5	99.09809	16.081669
A0A075KJ57	3.9035633	-72.08116
A0A075LU76	32.885746	43.208385
A0A075NWU0	-81.32202	18.69416
A0A075UWS9	-125.23668	-4.066238
A0A076EH49	-125.295586	-9.516351
A0A076FB28	-21.07026	15.152197
A0A076GZA2	-127.46899	-40.567135
A0A076HAR3	-126.60036	-37.892315
A0A076HF37	-128.29332	-42.01541
A0A076HUS6	12.396455	29.083841
A0A076HYR1	31.49688	50.550213
A0A076JEU9	40.067383	-38.65363
A0A076JJ88	39.670918	-30.638212
A0A076LNI0	69.107285	-19.438536
A0A076MUZ4	-116.98148	32.316963
A0A076NT25	-9.621601	47.936695
A0A076PTA7	45.319202	4.8547945
A0A076Q415	-17.798437	-12.9871235
A0A077EG85	60.62362	17.433353
A0A077FFK4	96.03613	47.882877
A0A077JHG9	-24.057287	-22.704536
A0A077KLJ5	-24.907204	74.32644
A0A077L1M3	-80.82342	-82.85585
A0A077L585	-90.87415	-57.772526
A0A077LCQ2	131.9855	24.758465
A0A077LZ27	-4.921559	-29.913967
A0A077MCF0	-4.7649026	-29.782793
A0A077MY94	-15.960404	142.01947
A0A077NGB6	-14.936128	145.39119
A0A077NV28	-10.567302	140.95375
A0A077NWX8	-15.151614	144.85243
A0A077PJ50	-13.778185	144.40535
A0A077PQF1	-11.983185	142.80794
A0A077QIJ6	-10.516377	141.07916
A0A078BM74	117.83366	-19.671062
A0A078KQ68	-51.07064	77.67885
A0A078LSY8	131.6124	29.967888
A0A078M4A8	37.011097	135.2009
A0A078M4E9	-90.54343	-18.854958
A0A078MHN1	110.02529	44.65742
A0A078MTZ0	44.423378	-20.404697
A0A078R412	-39.11803	-40.53539
A0A078S119	-61.255554	12.334553
A0A080IV52	62.78265	88.61193
A0A080KMM1	-38.974957	-43.806034
A0A080MDA4	92.39326	-15.946894
A0A080N681	42.175007	-24.28743
A0A081B9D8	-16.929712	-40.872322
A0A081D0J9	-20.38024	-134.16183
A0A081DB59	15.9333725	44.868725
A0A081DE01	-27.79824	70.39597
A0A081DEG6	-24.285583	-71.97517
A0A081EXX7	-113.56598	41.01724
A0A081FYI5	89.24382	43.55321
A0A081GJY6	-131.17319	-38.997814
A0A081I6S3	8.942103	-0.34960452
A0A081J930	45.49939	4.568088
A0A081K739	140.74438	-7.9590664
A0A081N1T9	33.310486	44.912674
A0A081ND75	16.896948	52.28514
A0A081NRU4	19.325815	54.16042
A0A081P4J8	78.53233	42.66449
A0A081PIZ7	115.6026	-14.779418
A0A081PJM5	-66.107666	109.020325
A0A081RD09	-31.714682	37.950428
A0A081RTN9	-11.047803	141.9482
A0A081SF46	-61.027718	47.09988
A0A081XVS1	-36.341064	-94.96222
A0A083URH1	117.61491	43.049698
A0A083XUK8	40.370163	-38.846634
A0A083YDV9	25.540096	-103.25359
A0A084A4T1	-15.198059	143.96178
A0A084DJ96	129.1911	-35.994293
A0A084EQX7	-30.347157	36.701504
A0A084H315	-1.3037407	101.92337
A0A084IL58	-42.380775	69.45847
A0A084J3Q3	37.455177	129.98946
A0A084JQM7	92.42093	-32.89968
A0A084JW66	-27.554977	70.72402
A0A084K053	5.1297417	55.038616
A0A084SIC1	51.135075	46.942345
A0A084SKD6	-46.049286	73.80901
A0A084T9H0	-4.172021	143.18547
A0A084THT0	-58.312405	-42.610226
A0A084UBY8	-11.530255	-138.95341
A0A084Y6C5	92.74571	-16.235718
A0A085A8R8	-19.759922	139.33792
A0A085B118	-140.0163	51.95314
A0A085B605	-25.065815	72.70319
A0A085B860	-26.004642	72.16652
A0A085BAN2	35.833973	21.93416
A0A085EEH4	-43.86179	103.13282
A0A085EQ97	64.48929	-44.115833
A0A085EQY9	47.597393	-69.55848
A0A085FLS7	-11.411196	-43.94836
A0A085G7R0	-13.6165905	112.24458
A0A085G8A4	-12.542598	139.40465
A0A085HIS8	70.941025	-19.733377
A0A085JHU5	-27.977398	142.26413
A0A085K3C4	-30.17349	37.70616
A0A085U1N5	-13.647761	21.937277
A0A085URX3	130.98143	28.52131
A0A085VR34	141.12112	23.63839
A0A085W503	1.959917	95.63554
A0A085WRJ2	100.13088	-74.916664
A0A085YXQ1	2.174879	20.535812
A0A085Z7J7	-24.412825	75.77738
A0A085ZHI0	-23.6517	75.84914
A0A085ZVT9	-51.054443	101.31821
A0A086A9T2	-19.926064	81.3816
A0A086AKE0	-20.639893	81.14691
A0A086B6Z2	-22.397171	78.57411
A0A086CIF9	-23.00369	-21.573416
A0A086D152	-52.50589	63.853
A0A086E045	-99.10993	2.8827584
A0A086F125	-35.71288	142.54591
A0A086H500	-27.846811	-82.57221
A0A086MIP3	43.73862	-62.195286
A0A086MTE9	-37.963924	-104.808525
A0A086PB36	-30.528801	39.700546
A0A086WEU7	66.43817	-44.064907
A0A086WUN5	0.36908466	149.37482
A0A086Y974	-15.212385	28.988218
A0A086YCC2	15.508318	-124.46299
A0A086Z2C3	40.71563	-18.8138
A0A086ZF35	-3.8692822	6.9495816
A0A086ZLL1	36.88667	-32.61581
A0A086ZN91	39.871944	-39.564625
